program_reference_id,date_received,description,facility_site_name,facility_site_address,city,county,permit_status,permit_type,completed_date,permit_number,days_used,expiration,url,site_id,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS (block)","Full FIPS (tract)","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
EX10200019007,"11/8/77 0:00","Storage Tanks","Ford Motor Company - Kansas City Plant","8121 E US Hwy 69","Kansas City",Clay,"AP:  Section 5 Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","11/8/77 0:00",1177-005..006,0,,,AP0000470019,38.998953,-94.49297,0.8,range_interpolation,8121,"E 69th St",,,"Kansas City",MO,"Jackson County",64133,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Kansas City",2938000,017500,1029,1,290950175001029,29095017500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX10200019008,"12/12/77 0:00","Steam Boilers","Ford Motor Company - Kansas City Plant","8121 E US Hwy 69","Kansas City",Clay,"AP:  Section 5 Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","12/12/77 0:00",1277-005..006,0,,,AP0000470019,38.998953,-94.49297,0.8,range_interpolation,8121,"E 69th St",,,"Kansas City",MO,"Jackson County",64133,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Kansas City",2938000,017500,1029,1,290950175001029,29095017500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX10200019006,"4/19/78 0:00",Painting,"Ford Motor Company - Kansas City Plant","8121 E US Hwy 69","Kansas City",Clay,"AP:  Section 5 Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","6/8/78 0:00",0678-008,50,,,AP0000470019,38.998953,-94.49297,0.8,range_interpolation,8121,"E 69th St",,,"Kansas City",MO,"Jackson County",64133,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Kansas City",2938000,017500,1029,1,290950175001029,29095017500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX0950002009,"5/1/78 0:00","Ultraformer Unit","Amoco Oil Co","1000 North Sterling","Sugar Creek",Jackson,"AP:  Section 7 Permit Issued","AP: Section 7, 8 & 9 Major Source Review","1/23/79 0:00",0179-EPA,267,,,APA000950002,39.112849,-94.444597,0.7,street_center,,"N Sterling Ave",,,Independence,MO,"Jackson County",64054,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Sugar Creek",2971368,011100,1037,1,290950111001037,29095011100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX0950002007,"11/1/78 0:00","Sulfur Recovery Unit","Amoco Oil Co","1000 North Sterling","Sugar Creek",Jackson,"AP:  Section 7 Permit Issued","AP: Section 7, 8 & 9 Major Source Review","11/27/78 0:00",1178-EPA,26,,,APA000950002,39.112849,-94.444597,0.7,street_center,,"N Sterling Ave",,,Independence,MO,"Jackson County",64054,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Sugar Creek",2971368,011100,1037,1,290950111001037,29095011100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX0950011008,"11/8/78 0:00","Wastewater Treatment","Miles Inc (Bayer Corp)","8400 HAWTHORNE RD","Kansas City",Jackson,"AP:  Section 7 Permit Issued","AP: Section 7, 8 & 9 Major Source Review","11/8/78 0:00",,0,,,AP0000950011,39.12172,-94.478888,1,rooftop,8400,"Hawthorne Rd",,,"Kansas City",MO,"Jackson County",64120,US,Jackson,2021,29,29095,"Kansas City",2938000,015500,2003,2,290950155002003,29095015500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX08400007005,"9/20/94 0:00",,"Limpus Quarries Harrisonville","19100 E 231ST ST",Harrisonville,Cass,"AP:  No Permit Required","AP: Sec 5 & 6: Deminimis and Minor","11/7/94 0:00",,48,,,APA000370007,38.700096,-94.378159,1,range_interpolation,19100,"E 231st St",,,Harrisonville,MO,"Cass County",64701,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29037,,,060800,4012,4,290370608004012,29037060800,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX2240N030005,"10/3/94 0:00",Remediation,"Fina Oil & Chemical Company","5220 Blue Ridge Cutoff","Kansas City",Jackson,"AP:  No Permit Required","AP: Sec 5 & 6: Deminimis and Minor","11/8/94 0:00",,36,,,AP000095N030,39.027627,-94.4816,1,rooftop,5220,"Blue Ridge Cut Off",,,Raytown,MO,"Jackson County",64133,US,Jackson,2021,29,29095,Raytown,2960788,012501,2004,2,290950125012004,29095012501,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX37400015009,"10/11/94 0:00","7500 gal diesel tank","Conoco Riverside","6699 NW RIVER PARK DR",Riverside,Platte,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","1/9/95 0:00",0195-026,90,,,APA001650015,39.179602,-94.66101,1,rooftop,6699,"NW River Park Dr",,,Riverside,MO,"Platte County",64150,US,"Platte County",2021,29,29165,Parkville,2956288,030103,2022,2,291650301032022,29165030103,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX2240N031005,"10/17/94 0:00",Remediation,"Fina Oil & Chemical Company","308 N. Hwy 291","Kansas City",Jackson,"AP:  No Permit Required","AP: Sec 5 & 6: Deminimis and Minor","11/8/94 0:00",,22,,,AP000095N031,39.109481,-94.382741,0.86,rooftop,308,"N M 291 Hwy",,,Independence,MO,"Jackson County",64050,US,Jackson,2021,29,29095,Independence,2935000,011405,1001,1,290950114101001,29095011410,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX10200122006,"11/1/94 0:00",,"Clark Printing Company","1534 Burlington St.","Pleasant Valley",Clay,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","2/10/95 0:00",0295-004,101,,,APA000470122,39.136644,-94.580246,0.9,range_interpolation,1534,"Burlington St",,,"Kansas City",MO,"Clay County",64116,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"North Kansas City",2953102,022100,6097,6,290470221006097,29047022100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX22400237005,"11/14/94 0:00",,"Progress Rail Services","5600 Stillwell Avenue","North Kansas City",Jackson,"AP:  Technical Review","AP: Sec 5 & 6: Deminimis and Minor","11/30/94 0:00",,16,,,AP0000950237,39.130004,-94.562177,0.45,place,,,,,"North Kansas City",MO,"Clay County",64116,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"North Kansas City",2953102,022100,6014,6,290470221006014,29047022100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX22400169006,"11/30/94 0:00",,"Ash Grove Aggregates, Inc","23004 East Hwy 24",Independence,Jackson,"AP:  Technical Review","AP: Sec 4: Relocate to New Site","12/13/94 0:00",,13,,,AP0000950169,39.136993,-94.306553,1,rooftop,23004,"E US 24 Hwy",,,Independence,MO,"Jackson County",64058,US,Jackson,2021,29,29095,,,015000,1056,1,290950150001056,29095015000,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX22400046021,"12/7/94 0:00",,"Lake City Army Ammunition Plant","MO Hwy 78",Independence,Jackson,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","3/6/95 0:00",0395-027,89,,,AP0000950046,39.107798,-94.409828,0.5,place,,,,,Independence,MO,"Jackson County",64050,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,Independence,2935000,011300,1011,1,290950113001011,29095011300,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX22400057008,"12/19/94 0:00",,"Pfizer Inc, Animal Health Group","1 SE PFIZER WAY","Lee's Summit",Jackson,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","3/6/95 0:00",,77,,,AP0000950057,38.894415,-94.370272,0.9,rooftop,1,"SE Pfizer Way",,,"Lees Summit",MO,"Jackson County",64081,US,Jackson,2021,29,29095,"Lee's Summit",2941348,013804,1012,1,290950138041012,29095013804,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX10200148005,"12/25/94 0:00",,"Star Boards, Inc.","1408 Gentry","Kansas City",Clay,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","3/3/95 0:00",0395-013,68,,,AP0000470148,39.135136,-94.57403,1,range_interpolation,1408,"Gentry St",,,"Kansas City",MO,"Clay County",64116,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"North Kansas City",2953102,022100,6112,6,290470221006112,29047022100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
PORT0093008,"1/9/95 0:00",Asphalt,"APAC - Kansas - Independence Division","2031 N Courtney Rd",Independence,Jackson,"AP:  Section 4 Permit Issued","AP: Sec 4: Relocate to New Site","4/14/95 0:00",,95,,,AP0000950061,39.141522,-94.398979,1,rooftop,2031,"N Courtney Rd",,,Independence,MO,"Jackson County",64050,US,Jackson,2021,29,29095,"Sugar Creek",2971368,015100,1078,1,290950151001078,29095015100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX0950239005,"1/18/95 0:00","CONCRETE BATCHING FOR PRECAST CONCRETE MANUFACTURING","Pavestone Company","601 NE PAVESTONE DR","Lee's Summit",Jackson,"AP:  Section 5 Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","5/12/95 0:00",0695-008,114,,,APA000950280,38.954038,-94.366002,0.9,rooftop,601,"NE Pavestone Dr",,,"Lees Summit",MO,"Jackson County",64064,US,Jackson,2021,29,29095,"Lee's Summit",2941348,014205,1020,1,290950142051020,29095014205,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199503002,"3/10/95 0:00","Fuel station remediation","Safewater @ Circle K","5802 E 125th St",Grandview,Jackson,"AP:  No Permit Required","AP: Applicability Determination Request","4/14/95 0:00",,35,,,AP0199503002,38.898254,-94.523719,1,rooftop,5802,"E 125th St",,,Grandview,MO,"Jackson County",64030,US,Jackson,2021,29,29095,Grandview,2928324,013307,2000,2,290950133072000,29095013307,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX10200042013,"3/20/95 0:00","replace gas turbine generator","Archer Daniels Midland Co","200 W 19TH ST","Kansas City",Clay,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","6/12/95 0:00",0695-012,84,,,AP0000470042,39.090811,-94.586008,1,range_interpolation,200,"W 19th St",,,"Kansas City",MO,"Jackson County",64108,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Kansas City",2938000,015800,1016,1,290950158001016,29095015800,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX08400042005,"3/23/95 0:00","Grain unloading-rail cars","Scoular Grain Company","1209 INDUSTRIAL BLVD",Harrisonville,Cass,"AP:  Appeal Resolved","AP: Sec 5 & 6: Deminimis and Minor","10/2/95 0:00",0595-015,193,,,AP0000370050,38.661353,-94.356949,1,range_interpolation,1209,"Industrial Blvd",,,Harrisonville,MO,"Cass County",64701,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29037,Harrisonville,2930610,060904,1010,1,290370609041010,29037060904,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX10200150005,"3/27/95 0:00",,"Excelsior Springs Animal Control","805 Lake Maurer Rd","Excelsior Springs",Clay,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","8/1/95 0:00",0895-002,127,,,AP0000470150,39.329069,-94.227904,1,range_interpolation,805,"Lake Maurer Rd",,,"Excelsior Springs",MO,"Clay County",64024,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"Excelsior Springs",2923086,021704,3012,3,290470217043012,29047021704,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX0950002008,"2/12/79 0:00","Testing Conditions","Amoco Oil Co","1000 North Sterling","Sugar Creek",Jackson,"AP:  Amendment Approved","AP: Corrections & Amendments","2/27/79 0:00","1178-EPA - A",15,,,APA000950002,39.112849,-94.444597,0.7,street_center,,"N Sterling Ave",,,Independence,MO,"Jackson County",64054,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Sugar Creek",2971368,011100,1037,1,290950111001037,29095011100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX3740N003005,"3/5/79 0:00",,"Mid-Continent Asphalt & Paving","100 Main",Parkville,Platte,"AP:  Permit Issued","AP: Section 7, 8 & 9 Major Source Review","5/1/79 0:00",0579-010,57,,,AP000165N003,39.189365,-94.68415,1,rooftop,100,"Main St",,,Parkville,MO,"Platte County",64152,US,"Platte County",2021,29,29165,Parkville,2956288,030309,4008,4,291650303094008,29165030309,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX10200024005,"5/7/79 0:00",,"Central Soya of Kansas City, Inc","2005 Taney Avenue","Kansas City",Clay,"AP:  Awaiting Completeness Check","AP: Sec 5 & 6: Deminimis and Minor","5/11/79 0:00",0579-022,4,,,AP0000470024,39.145365,-94.558525,1,range_interpolation,2005,"Taney St",,,"Kansas City",MO,"Clay County",64116,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"North Kansas City",2953102,022100,4014,4,290470221004014,29047022100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX22400088005,"5/14/79 0:00",,"Jackson County Ready Mix, Inc",,"Blue Springs",Jackson,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","5/21/79 0:00",0579-020,7,,,APA000950088,38.964518,-94.370275,1,place,,,,,"Blue Springs",MO,"Jackson County",64013,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Lee's Summit",2941348,014205,1016,1,290950142051016,29095014205,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX22400140005,"5/24/79 0:00",,"Missouri Rock Inc",,"Sugar Creek",Jackson,"AP:  Technical Review","AP: Sec 5 & 6: Deminimis and Minor","7/1/79 0:00",0779-006,38,,,AP0000950140,39.109727,-94.444674,0.8,place,,,,,"Sugar Creek",MO,"Jackson County",64054,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Sugar Creek",2971368,011100,3015,3,290950111003015,29095011100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX2240N009005,"6/22/79 0:00","Rock Crusher","City-Wide Asphalt Co. Inc","1701 N M 291 HWY","Sugar Creek",Jackson,"AP:  Technical Review","AP: Sec 5 & 6: Deminimis and Minor","8/1/79 0:00",0879-001,40,,,APA000950061,39.13663,-94.384131,0.9,rooftop,1701,"N M 291 Hwy",,,Independence,MO,"Jackson County",64058,US,Jackson,2021,29,29095,"Sugar Creek",2971368,015100,1070,1,290950151001070,29095015100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX10200019010,"7/16/79 0:00","small parts dry scuff booth","Ford Motor Company - Kansas City Plant","8121 E US Hwy 69","Kansas City",Clay,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","7/30/79 0:00",0779-014..,14,,,AP0000470019,38.998953,-94.49297,0.8,range_interpolation,8121,"E 69th St",,,"Kansas City",MO,"Jackson County",64133,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Kansas City",2938000,017500,1029,1,290950175001029,29095017500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX0840N001005,"9/27/79 0:00",,"North American Saving Assoc","202 North Ave",Belton,Cass,"AP:  Technical Review","AP: Sec 5 & 6: Deminimis and Minor","10/1/79 0:00",1079-006,4,,,AP000037N001,38.784041,-94.532397,0.5,place,,,,,Belton,MO,"Cass County",64012,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29037,,,061001,3001,3,290370610013001,29037061001,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX10200018005,"12/11/79 0:00","bulk limestone storage bin","Owens Corning Fiberglass","825 Armour Road","Kansas City",Clay,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","1/1/80 0:00",0180-007,21,,,AP0000470018,39.142909,-94.571204,1,range_interpolation,825,"Armour Rd",,,"Kansas City",MO,"Clay County",64116,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"North Kansas City",2953102,022100,6030,6,290470221006030,29047022100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX1020N005005,"3/4/80 0:00",incinerator,"Liberty Animal Control","1501 E Old MO Hwy 210",Liberty,Clay,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","3/19/80 0:00",0380-010,15,,,AP0000470142,39.201499,-94.388583,1,range_interpolation,1501,"Old Hwy 210",,,Liberty,MO,"Clay County",64068,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,Liberty,2942032,021602,2129,2,290470216022129,29047021602,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX1020N003005,"4/21/80 0:00","Rubber hose manufacture","Gates Rubber Co","140 Corum Road","Excelsior Springs",Clay,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","7/1/80 0:00",0780-007..,71,,,APA000470070,39.33719,-94.249344,1,range_interpolation,140,"Corum Rd",,,"Excelsior Springs",MO,"Clay County",64024,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"Excelsior Springs",2923086,021701,3036,3,290470217013036,29047021701,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX22400179005,"4/22/80 0:00",Incinerator,"McDonalds Restaurant","9066 E 50 Hwy",Raytown,Jackson,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","5/2/80 0:00",0580-001,10,,,AP0000950179,39.031429,-94.47381,1,range_interpolation,9066,"E 50th St",,,"Kansas City",MO,"Jackson County",64133,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Kansas City",2938000,010600,4003,4,290950106004003,29095010600,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX10200024010,"5/5/80 0:00",,"Central Soya of Kansas City, Inc","2005 Taney Avenue","Kansas City",Clay,"AP:  Technical Review","AP: Sec 5 & 6: Deminimis and Minor","5/20/80 0:00",0580-004,15,,,AP0000470024,39.145365,-94.558525,1,range_interpolation,2005,"Taney St",,,"Kansas City",MO,"Clay County",64116,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"North Kansas City",2953102,022100,4014,4,290470221004014,29047022100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX22400076005,"8/6/80 0:00",,"Barber & Son Aggregates Co.","11400 7 HWY","Lee's Summit",Jackson,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","9/1/80 0:00",0980-005,26,,,APA000950076,38.909011,-94.266637,0.7,rooftop,11400,"S M 7 Hwy",,,"Lees Summit",MO,"Jackson County",64086,US,Jackson,2021,29,29095,"Lake Lotawana",2939980,013918,2024,2,290950139182024,29095013918,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX3740N004005,"8/28/80 0:00",,"Buildex, Inc.-New Market MO.","22105 HIGHWAY 371",Dearborn,Platte,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","11/1/80 0:00",1180-007,65,,,AP0001650001,39.483842,-94.807421,1,range_interpolation,22105,"State Hwy 371",,,Dearborn,MO,"Platte County",64439,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29165,,,030700,4075,4,291650307004075,29165030700,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX08400003005,"9/22/80 0:00",,"Utilicorp United","101 Front St","Pleasant Hill",Cass,"AP:  Section 7 Permit Issued","AP: Section 7, 8 & 9 Major Source Review","12/1/80 0:00",1280-006,70,,,APA000370003,39.516586,-81.058993,0.9,range_interpolation,101,"Front St",,,"Pleasant Hill",MO,,64080,US,"TIGER/Line® dataset from the US Census Bureau",2021,54,54095,,,961900,4022,4,540959619004022,54095961900,,,,,,,
