program_reference_id,date_received,description,facility_site_name,facility_site_address,city,county,permit_status,permit_type,completed_date,permit_number,days_used,expiration,url,site_id
EX10200019014,4/27/87 0:00,NA,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  ERC Request Approved,AP: Banking Requests,5/15/87 0:00,BANK,18,NA,NA,AP0000470019
EX10200019018,5/5/87 0:00,NA,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,11/5/87 0:00,1187-002,184,NA,NA,AP0000470019
EX1020N009005,5/18/87 0:00,Fuel Storage Tanks,Heritage Environmental Services Inc,8525 ne 38th street,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,6/29/87 0:00,0687-014,42,NA,NA,AP0000472222
EX10200013005,8/22/88 0:00,Modification of can solder Lines 2 & 3,American Can Co,1545 erie st,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,12/1/88 0:00,1288-001,101,NA,NA,AP0000470013
EX10200019019,11/21/88 0:00,NA,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Permit Issued,"AP: Section 7, 8 & 9 Major Source Review",10/6/89 0:00,1089-001,319,NA,NA,AP0000470019
EX10200042007,2/16/89 0:00,increase capacity for soybeans,Archer Daniels Midland Co,200 w 19th st,Kansas City,Clay,AP:  Application Withdrawn by Applicant,"AP: Section 7, 8 & 9 Major Source Review",3/25/89 0:00,NA,37,NA,NA,AP0000470042
EX10200019020,11/14/89 0:00,Guide Coat System for Truck Line,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,11/21/89 0:00,NA,7,NA,NA,AP0000470019
EX10200019021,2/15/90 0:00,NA,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Permit Issued,"AP: Section 7, 8 & 9 Major Source Review",9/5/90 0:00,0990-009,202,NA,NA,AP0000470019
EX10200019023,3/20/90 0:00,NA,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,6/30/90 0:00,0690-016,102,NA,NA,AP0000470019
EX0950021006,4/2/90 0:00,Transfer Banking Credits (SO2),Trigen-Kansas City District Energy Corp,115 grand ave.,Kansas City,Jackson,AP:  ERC Request Approved,AP: Banking Requests,4/9/90 0:00,BANK,7,NA,NA,APB000950021
EX10200019022,4/27/90 0:00,NA,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,5/1/90 0:00,0590-001,4,NA,NA,AP0000470019
EX10200107006,5/31/90 0:00,NA,"Teasure Chest Advertising Company, Inc.",2001 bedford,Kansas City,Clay,AP:  Awaiting Completeness Check,AP: Sec 5 & 6: Deminimis and Minor,7/20/90 0:00,0790-011,50,NA,NA,AP0000470107
EX10200032006,6/13/90 0:00,NA,"Henry Wurst, Inc",1331 saline st,Kansas City,Clay,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,8/8/90 0:00,0890-010,56,NA,NA,AP0000470032
EX10200079007,7/11/90 0:00,NA,"Campbell, Earl Mfg. Co",400 e 10th ave,Kansas City,Clay,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,8/1/90 0:00,0890-011,21,NA,NA,AP0000470079
EX10200120005,7/30/90 0:00,NA,Devine Design,one design drive,Kansas City,Clay,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,8/16/90 0:00,None,17,NA,NA,APA000470120
EX199008001,8/13/90 0:00,Soybean Processing,"Cargill, Inc.",2306 rochester st,Kansas City,Jackson,AP:  Permit Issued,AP: Local CP,7/23/92 0:00,607,710,NA,NA,AP0000952001
EX0950022021,12/28/95 0:00,NA,Kansas City Power & Light Co (Hawthorn),8700 hawthorne rd,Kansas City,Jackson,AP:  Acid Rain Permit Issued,AOP: Phase II Acid Rain Permit,2/9/98 0:00,OP,774,NA,NA,AP0000950022
EX10200019024,12/18/90 0:00,NA,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,2/19/91 0:00,1089-001A,63,NA,NA,AP0000470019
EX199107002,7/1/91 0:00,Chemical manufacturing,Miles Inc (Bayer Corp),8400 hawthorne rd,Kansas City,Jackson,AP:  Permit Issued,AP: Local CP,7/30/91 0:00,NA,29,NA,NA,AP0000950011
EX199107001,7/9/91 0:00,Printer,Tension Envelope,1911 18th st,Kansas City,Jackson,AP:  Permit Issued,AP: Local CP,8/7/91 0:00,559,29,NA,NA,AP0000952008
EX10200042008,10/27/91 0:00,add baghouse to meal DC,Archer Daniels Midland Co,200 w 19th st,Kansas City,Clay,AP:  No Permit Required,AP: Sec 5 & 6: Deminimis and Minor,11/2/91 0:00,NA,6,NA,NA,AP0000470042
EX10200019025,2/28/92 0:00,NA,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,5/28/92 0:00,0692-016,90,NA,NA,AP0000470019
EX10200042009,4/9/92 0:00,install expander system,Archer Daniels Midland Co,200 w 19th st,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,9/15/92 0:00,1092-004,159,NA,NA,AP0000470042
EX10200133005,5/22/92 0:00,NA,Technical Coatings Co.,"406 e 14th, nkc",Kansas City,Clay,AP:  No Permit Required,AP: Sec 5 & 6: Deminimis and Minor,7/2/92 0:00,NA,41,NA,NA,AP0000470133
EX10200032007,6/10/92 0:00,NA,"Henry Wurst, Inc",1331 saline st,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,10/2/92 0:00,1092-007,114,NA,NA,AP0000470032
EX10200019026,10/16/92 0:00,NA,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,1/14/93 0:00,0293-003,90,NA,NA,AP0000470019
EX10200042010,12/15/92 0:00,"1,000 KW nat gas co-gen unit",Archer Daniels Midland Co,200 w 19th st,Kansas City,Clay,AP:  Application Withdrawn by Applicant,AP: Sec 5 & 6: Deminimis and Minor,1/21/93 0:00,NA,37,NA,NA,AP0000470042
AP199300006,2/23/93 0:00,Incinerator,Park Lawn Funeral Home,8251 hillcrest road,Kansas City,Jackson,AP:  Permit Issued,AP: Local CP,2/23/93 0:00,620,0,NA,NA,AP0000952079
EX047N018005,6/7/93 0:00,Standby Genrator,MO Public Service Co Customer Call Cente,NA,Kansas City,Clay,AP:  No Permit Required,AP: Applicability Determination Request,2/9/94 0:00,NA,247,NA,NA,AP000047N018
EX10200019027,7/23/93 0:00,NA,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,10/21/93 0:00,1193-015,90,NA,NA,AP0000470019
EX199309001,7/28/93 0:00,Printer,Barton Nelson Inc,13700 wyandotte,Kansas City,Jackson,AP:  Permit Issued,AP: Local CP,8/2/93 0:00,618,5,NA,NA,AP0000952044
EX10200042011,9/8/93 0:00,"incr prod on crack, dehull, cond, and drying",Archer Daniels Midland Co,200 w 19th st,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,12/29/93 0:00,0194-003,112,NA,NA,AP0000470042
EX10200019028,11/24/93 0:00,NA,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Permit Issued,"AP: Section 7, 8 & 9 Major Source Review",5/17/94 0:00,0594-034,174,NA,NA,AP0000470019
EX10200019029,12/27/93 0:00,NA,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,4/7/94 0:00,NA,101,NA,NA,AP0000470019
EX10200019030,1/11/94 0:00,NA,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,4/7/94 0:00,NA,86,NA,NA,AP0000470019
PORT0118006,3/27/94 0:00,NA,Clarkson Construction Co,4133 gardner ave,Kansas City,Portable Plant,AP:  Technical Review,AP: Sec 4: Relocate Approved Site,4/7/94 0:00,NA,11,NA,NA,AP00PORT0118
EX10200019031,3/31/94 0:00,NA,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,6/17/94 0:00,0694-020,78,NA,NA,AP0000470019
EX095T006005,4/25/94 0:00,SOIL VAPOR EXTRACTION REMEDIATION,McCall Service Stations,NA,Kansas City,Jackson,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,7/6/94 0:00,NA,72,NA,NA,AP000095T006
EX10200042012,7/29/94 0:00,mod to allow high moisture bean processing,Archer Daniels Midland Co,200 w 19th st,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,11/8/94 0:00,1194-021,102,NA,NA,AP0000470042
PORT0206005,4/11/95 0:00,Local Quarry CP done by APCP due to future Relocation,Recycled Materials Company of Missouri,401 n. atlantic avenue,Kansas City,Portable Plant,AP:  Permit Issued,AP: Local CP,6/1/95 0:00,NA,51,6/1/96 0:00,NA,AP00PORT0206
PORT0207005,4/11/95 0:00,Local Quarry CP done by APCP due to future MO Relocations,Recycled Materials Company of Missouri,401 north atlantic avenue,Kansas City,Portable Plant,AP:  Permit Issued,AP: Local CP,6/1/95 0:00,NA,51,6/1/96 0:00,NA,AP00PORT0207
AP199500016,10/20/95 0:00,Asphalt,Superior Bowen Asphalt,8651 ne 38th street,Kansas City,Jackson,AP:  Permit Issued,AP: Local CP,10/20/95 0:00,710,0,NA,NA,AP0000952219
EX22400029010,4/26/96 0:00,Castings-Intermediate,Lightning Industries,801 woodsweather rd,Kansas City,Jackson,AP:  Operating Permit Issued,AOP: Local Issued OP,7/7/97 0:00,OP,437,7/7/02 0:00,NA,AP0000950029
EX10200040010,4/29/96 0:00,Paint manufacture,Davis Paint Co,1311 iron st,Kansas City,Clay,AP:  Operating Permit Issued,AOP: Part 70 Operating Permit,10/5/01 0:00,OP2001-123,1985,10/5/06 0:00,NA,AP0000470040
EX22400065010,7/15/96 0:00,Paper Sacks,"Percy Kent Bag Co., Inc",5910 winner road,Kansas City,Jackson,"AP:  Closed out, per policy",AOP: Part 70 Operating Permit,9/9/98 0:00,OP,786,NA,NA,APA000950065
EX22400068010,7/15/96 0:00,Chemical Storage Tanks,Unocal Chemical Div.,5200 stillwell street,Kansas City,Jackson,"AP:  Closed out, per policy",AOP: Intermediate Operating Permit,9/3/98 0:00,OP,780,NA,NA,APA000950068
EX22402058010,7/15/96 0:00,Insulation-Intermediate,Cook Brothers Insulation Inc,200 walnut st,Kansas City,Jackson,AP:  OP Application Replaced by New Submittal,AOP: Local Issued OP,7/3/02 0:00,OP,2179,NA,NA,AP0000952058
EX22400176010,6/20/96 0:00,NA,Bowen Construction Plant #1,2501 manchester,Kansas City,Jackson,AP:  Closed Out Inappropriate Request,AOP: Part 70 Operating Permit,10/29/97 0:00,OP,496,NA,NA,AP0000950176
EX22400120010,6/30/96 0:00,NA,Burd & Fletcher Company,321 west 7th st.,Kansas City,Jackson,AP:  Application Withdrawn by Applicant,AOP: Part 70 Operating Permit,4/25/97 0:00,OP,299,NA,NA,AP0000950120
EX22400005010,7/3/96 0:00,"DOE, and Weapons",Bendix Corporation,2000 east bannister road,Kansas City,Jackson,"AP:  Closed out, per policy",AOP: Part 70 Operating Permit,8/19/98 0:00,OP,777,NA,NA,APA000950005
EX10200052010,7/8/96 0:00,Grease and Oil,Jesco Lubricants Co,1437 gentry,Kansas City,Clay,AP:  Operating Permit Issued,AOP: Intermediate Operating Permit,1/20/99 0:00,OP1999-007,926,1/20/04 0:00,NA,APA000470052
EX199903088,7/8/96 0:00,Emergency Generators,Truman Medical Center East,7900 lees summit rd,Kansas City,Jackson,AP:  Permit Issued,AP: Local CP,8/7/96 0:00,750,30,NA,NA,AP0000952154
EX37402402010,7/11/96 0:00,Asphalt Plant,Bowen Construction Company #2,14457 nw interurban rd,Kansas City,Platte,"AP:  Closed out, per policy",AOP: Part 70 Operating Permit,9/9/98 0:00,OP,790,NA,NA,AP0001652402
EX22400022010,7/12/96 0:00,Power Generation,Kansas City Power & Light Co (Hawthorn),8700 hawthorne rd,Kansas City,Jackson,"AP:  Closed out, per policy",AOP: Part 70 Operating Permit,5/25/99 0:00,OP,1047,NA,NA,AP0000950022
EX37400009010,7/12/96 0:00,Power Plant,MO Public Service Co.,9900 nw 112th st,Kansas City,Platte,AP:  Permit Issued,AOP: Part 70 Operating Permit,3/5/02 0:00,OP2002-009,2062,3/5/07 0:00,NA,APA001650009
EX10200100010,7/22/96 0:00,"Marble grinding, molding","Aristocrat Marble, Inc.",1208 iron st,Kansas City,Clay,"AP:  Closed out, per policy",AOP: Basic Operating Permit,10/24/00 0:00,OP,1555,NA,NA,AP0000470100
EX10200042015,8/15/96 0:00,veg oil extraction mod,Archer Daniels Midland Co,200 w 19th st,Kansas City,Clay,AP:  Permit Issued,"AP: Section 7, 8 & 9 Major Source Review",10/8/97 0:00,1097-009,419,NA,NA,AP0000470042
EX199608003,8/19/96 0:00,Horizontal Silo,Fordyce Concrete Co,7900 nw tiffany springs r,Kansas City,Platte,AP:  Permit Issued,AP: Local CP,9/18/96 0:00,758,30,NA,NA,AP0001652405
EX37402403010,8/22/96 0:00,Rock Quarry - Intermediate,Hunt Midwest Mining - Stamper,14457 interurban rd,Kansas City,Platte,AP:  OP Application Replaced by New Submittal,AOP: Local Issued OP,12/16/02 0:00,OP,2307,NA,NA,APA001652403
EX199908081,8/31/96 0:00,Hospital - Basic,Baptist Medical Center,6601 rockhill rd,Kansas City,Jackson,AP:  OP Application Replaced by New Submittal,AOP: Local Issued OP,1/15/02 0:00,OP,1963,NA,NA,APA000952087
EX10200042016,2/25/97 0:00,replace existing fabric filters,Archer Daniels Midland Co,200 w 19th st,Kansas City,Clay,AP:  No Permit Required,AP: Sec 5 & 6: Deminimis and Minor,2/28/97 0:00,NA,3,NA,NA,AP0000470042
EX10200040006,2/28/97 0:00,app. det. for boiler and sandmill,Davis Paint Co,1311 iron st,Kansas City,Clay,AP:  No Permit Required,AP: Applicability Determination Request,4/28/97 0:00,NA,59,NA,NA,AP0000470040
EX10200032009,3/5/97 0:00,ASI 18 ft dryer to replace 10 ft. dryer,"Henry Wurst, Inc",1331 saline st,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,6/24/97 0:00,0697-020,111,NA,NA,AP0000470032
EX10200040005,3/7/97 0:00,paint mixer,Davis Paint Co,1311 iron st,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,7/30/97 0:00,0797-029,145,NA,NA,AP0000470040
EX10200148006,11/18/96 0:00,Painting Line,"Star Boards, Inc.",1408 gentry,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,6/9/97 0:00,0697-001,203,NA,NA,AP0000470148
EX10200032008,1/10/97 0:00,"2 sheetfed presses 28X40"" 2 & 5 unit","Henry Wurst, Inc",1331 saline st,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,6/24/97 0:00,0697-019,165,NA,NA,AP0000470032
EX10200151005,2/19/97 0:00,Ink Production,Flint Ink - West 10th Plant,104 west 10th ave,Kansas City,Clay,AP:  No Permit Required,AP: Applicability Determination Request,11/7/97 0:00,NA,261,NA,NA,AP0000470151
EX10200120020,3/28/97 0:00,Light Fixture Manufacturing,Devine Design,one design drive,Kansas City,Clay,"AP:  Closed out, per policy",AOP: Intermediate Operating Permit,4/21/98 0:00,OP,389,NA,NA,APA000470120
EX10200042017,4/3/97 0:00,crude vegetable oil refinery,Archer Daniels Midland Co,200 w 19th st,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,12/10/97 0:00,1297-007,251,NA,NA,AP0000470042
EX199908069,4/6/97 0:00,Chemical Manufacturing - Intermediate,Chemtech Terminals Inc,6301 ne birmingham rd,Kansas City,Clay,AP:  OP Application Replaced by New Submittal,AOP: Local Issued OP,7/14/03 0:00,OP,2290,NA,NA,APA000470046
EX0950114005,4/9/97 0:00,Greeting cards,"Hallmark Cards, Inc",2501 mcgee st,Kansas City,Jackson,AP:  Operating Permit Issued,AOP: Part 70 Operating Permit,8/7/02 0:00,OP2002-057,1946,8/6/07 0:00,NA,AP0000950114
EX10200019032,4/21/97 0:00,production changes:  new vehicle and inc. F-series production,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Application Required,AP: Applicability Determination Request,6/16/97 0:00,NA,56,NA,NA,AP0000470019
EX199903191,5/6/97 0:00,Roofing Material,Performance Roof Systems,4821 chelsea avenue,Kansas City,Jackson,AP:  Received Basic OP Issued,AOP: Basic Operating Permit,5/6/97 0:00,OP,0,5/5/02 0:00,NA,APA000950177
EX0470148020,5/12/97 0:00,Fiberglass running boards,"Star Boards, Inc.",1408 gentry,Kansas City,Clay,AP:  Operating Permit Issued,AOP: Part 70 Operating Permit,10/26/98 0:00,OP047-0148-0001,532,10/26/03 0:00,NA,AP0000470148
EX0950004020,5/12/97 0:00,Steel,GST Steel,8116 wilson rd,Kansas City,Jackson,"AP:  Closed Out, Inactive",AOP: Part 70 Operating Permit,10/15/01 0:00,OP,1617,NA,NA,APB000950004
EX0952001005,5/12/97 0:00,Soybean Extraction Plant,"Cargill, Inc.",2306 rochester st,Kansas City,Jackson,AP:  Operating Permit Issued,AOP: Part 70 Operating Permit,10/2/01 0:00,OP2001-121,1604,10/2/06 0:00,NA,AP0000952001
EX0470001020,5/13/97 0:00,Grain Handling,Louis Dreyfus Corp,14th street,Kansas City,Clay,"AP:  Closed out, per policy",AOP: Intermediate Operating Permit,6/24/04 0:00,OP,2599,5/12/02 0:00,NA,AP0000470001
EX0470019034,5/13/97 0:00,Cars & Light Duty Truck Assembly,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Operating Permit Issued,AOP: Part 70 Operating Permit,11/24/08 0:00,OP2008-044,4213,11/23/13 0:00,#http://www.dnr.mo.gov/env/apcp/docs/fordkansascity2008op.pdf#,AP0000470019
EX199705031,5/13/97 0:00,Coffee,Folgers Coffee Co,701 broadway,Kansas City,Jackson,AP:  Operating Permit Issued,AOP: Part 70 Operating Permit,6/24/02 0:00,OP2002-040,1868,6/23/07 0:00,NA,AP0000950017
EX199811055,5/13/97 0:00,Power Plant (KC Local Part 70),Trigen-Kansas City District Energy Corp,115 grand ave.,Kansas City,Jackson,AP:  Operating Permit Issued,AOP: Part 70 Operating Permit,11/2/00 0:00,OP2000-102,1269,11/1/05 0:00,NA,APB000950021
EX0470032020,5/14/97 0:00,Printed Products,"Henry Wurst, Inc",1331 saline st,Kansas City,Clay,AP:  OP Application Replaced by New Submittal,AOP: Intermediate Operating Permit,12/21/01 0:00,OP,1682,5/13/02 0:00,NA,AP0000470032
EX0470042020,5/14/97 0:00,Soybean Oil,Archer Daniels Midland Co,200 w 19th st,Kansas City,Clay,AP:  Operating Permit Issued,AOP: Part 70 Operating Permit,8/24/01 0:00,OP2001-103,1563,8/24/06 0:00,NA,AP0000470042
EX0470079020,5/15/97 0:00,Paint,"Campbell, Earl Mfg. Co",400 e 10th ave,Kansas City,Clay,AP:  OP Application Replaced by New Submittal,AOP: Intermediate Operating Permit,8/23/02 0:00,OP,1926,5/14/02 0:00,NA,AP0000470079
EX199706002,6/4/97 0:00,Airplane repair facility,T.W.A. Overhaul Operations,9200 nw 112th street,Kansas City,Platte,AP:  Operating Permit Issued,AOP: Part 70 Operating Permit,10/3/01 0:00,OP2001-120,1582,10/3/06 0:00,NA,APA001650005
