program_reference_id,date_received,description,facility_site_name,facility_site_address,city,county,permit_status,permit_type,completed_date,permit_number,days_used,expiration,url,site_id
EX22400088005,5/14/79 0:00,NA,"Jackson County Ready Mix, Inc",NA,Blue Springs,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,5/21/79 0:00,0579-020,7,NA,NA,APA000950088
EX22400140005,5/24/79 0:00,NA,Missouri Rock Inc,NA,Sugar Creek,Jackson,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,7/1/79 0:00,0779-006,38,NA,NA,AP0000950140
EX2240N009005,6/22/79 0:00,Rock Crusher,City-Wide Asphalt Co. Inc,1701 N M 291 HWY,Sugar Creek,Jackson,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,8/1/79 0:00,0879-001,40,NA,NA,APA000950061
EX10200019010,7/16/79 0:00,small parts dry scuff booth,Ford Motor Company - Kansas City Plant,8121 E US Hwy 69,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,7/30/79 0:00,0779-014..,14,NA,NA,AP0000470019
EX0840N001005,9/27/79 0:00,NA,North American Saving Assoc,202 North Ave,Belton,Cass,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,10/1/79 0:00,1079-006,4,NA,NA,AP000037N001
EX10200018005,12/11/79 0:00,bulk limestone storage bin,Owens Corning Fiberglass,825 Armour Road,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,1/1/80 0:00,0180-007,21,NA,NA,AP0000470018
EX1020N005005,3/4/80 0:00,incinerator,Liberty Animal Control,1501 E Old MO Hwy 210,Liberty,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,3/19/80 0:00,0380-010,15,NA,NA,AP0000470142
EX1020N003005,4/21/80 0:00,Rubber hose manufacture,Gates Rubber Co,140 Corum Road,Excelsior Springs,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,7/1/80 0:00,0780-007..,71,NA,NA,APA000470070
EX22400179005,4/22/80 0:00,Incinerator,McDonalds Restaurant,9066 E 50 Hwy,Raytown,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,5/2/80 0:00,0580-001,10,NA,NA,AP0000950179
EX10200024010,5/5/80 0:00,NA,"Central Soya of Kansas City, Inc",2005 Taney Avenue,Kansas City,Clay,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,5/20/80 0:00,0580-004,15,NA,NA,AP0000470024
EX22400076005,8/6/80 0:00,NA,Barber & Son Aggregates Co.,11400 7 HWY,Lee's Summit,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,9/1/80 0:00,0980-005,26,NA,NA,APA000950076
EX3740N004005,8/28/80 0:00,NA,"Buildex, Inc.-New Market MO.",22105 HIGHWAY 371,Dearborn,Platte,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,11/1/80 0:00,1180-007,65,NA,NA,AP0001650001
EX08400003005,9/22/80 0:00,NA,Utilicorp United,101 Front St,Pleasant Hill,Cass,AP:  Section 7 Permit Issued,"AP: Section 7, 8 & 9 Major Source Review",12/1/80 0:00,1280-006,70,NA,NA,APA000370003
EX10200007005,12/2/80 0:00,NA,U. S. Gypsum Co,1115 Armour Rd,North Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,1/1/81 0:00,0181-001,30,NA,NA,AP0000470007
EX2240N002005,10/8/81 0:00,NA,Sho-Me Kennels,RR 2 Box 171,Grain Valley,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,10/23/81 0:00,1081-008,15,NA,NA,AP000095N002
EX37400011005,10/14/81 0:00,NA,Rolling Acres Memorial Gardens for Pets,12200 NW CROOKED RD,Parkville,Platte,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,10/29/81 0:00,1081-007,15,NA,NA,AP0001650011
EX22400183005,2/17/82 0:00,Aluminum Reduction Furnace,Metal World Inc,1601 Marsh,Randolph,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,3/18/82 0:00,0382-001,29,NA,NA,AP0000950183
EX10200007010,5/17/82 0:00,Bulk Calcium Carbonate Storage,U. S. Gypsum Co,1115 Armour Rd,North Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,8/17/82 0:00,0882-001..,92,NA,NA,AP0000470007
EX37400010005,10/28/82 0:00,rock quarrying facility,Parkville Stone Co,NA,Parkville,Platte,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,12/15/82 0:00,1282-001,48,NA,NA,APA001650010
EX22400174005,6/2/83 0:00,Asphalt Plant,Concrete Service Inc,16000 E Kentucky Rd,Sugar Creek,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,12/31/83 0:00,1283-003,212,NA,NA,APA000950174
EX1020N003010,6/15/83 0:00,Steam Boiler,Gates Rubber Co,140 Corum Road,Excelsior Springs,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,8/17/83 0:00,0883-005,63,NA,NA,APA000470070
EX10200019015,10/18/83 0:00,rises in emission rate,Ford Motor Company - Kansas City Plant,8121 E US Hwy 69,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,10/30/84 0:00,1084-003..,378,NA,NA,AP0000470019
EX22400002005,10/31/83 0:00,Fuel Tanks,Amoco Oil Co,1000 North Sterling,Sugar Creek,Jackson,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,1/15/84 0:00,0184-047...050,76,NA,NA,APA000950002
EX22400030004,11/8/83 0:00,NA,Missouri Portland Cement Company,4201 North River Blvd,Sugar Creek,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,1/30/84 0:00,0184-055,83,NA,NA,APA000950030
EX10200081005,12/5/83 0:00,second web offset printing press,"Clark Printing Co., Inc",1534 Burlington,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,7/10/84 0:00,0784-003,218,NA,NA,AP0000470081
EX10200002004,6/1/84 0:00,Corn Starch Products,CPC International,1001 Bedford Ave,North Kansas City,Clay,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,6/30/84 0:00,0684-005...016,29,NA,NA,APA000470002
EX2240N008005,8/9/84 0:00,Electric induction furnace,Independence Foundry,630 S Cottage St,Independence,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,9/20/84 0:00,0984-003,42,NA,NA,AP0000950049
EX10200019016,10/16/84 0:00,NA,Ford Motor Company - Kansas City Plant,8121 E US Hwy 69,Kansas City,Clay,AP:  Permit Issued,"AP: Section 7, 8 & 9 Major Source Review",3/10/86 0:00,0386-003,510,NA,NA,AP0000470019
EX22400098005,1/30/85 0:00,Concrete Batch Plant,"Courtney Concrete, Inc.",2601 N. State Route 291,Sugar Creek,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,5/10/85 0:00,0585-014,100,NA,NA,APA000950098
EX10200075005,2/20/85 0:00,sand silo,"Tnemec Company, Inc",123 W 123rd Ave,North Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,3/1/85 0:00,0385-001,9,NA,NA,AP0000470075
EX0840P030005,3/14/85 0:00,portable central-mix concrete plant,Clarkson Construction Co,NA,Harrisonville,Cass,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,5/9/85 0:00,0585-012,56,NA,NA,AP000037P030
EX3740P012005,3/14/85 0:00,portable central-mix concrete plant,Clarkson Construction Co,NA,Platte City,Platte,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,5/9/85 0:00,0585-013,56,NA,NA,AP000165P012
EX10200109005,3/15/85 0:00,NA,Holnam Inc-Kansas City Terminal,1415 Warren Street,North Kansas City,Clay,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,4/8/85 0:00,0485-001,24,NA,NA,AP0000470109
EX22400182005,3/25/85 0:00,NA,St Mary's Hospital,201 NW R D MIZE RD,Blue Springs,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,4/8/85 0:00,0485-004,14,NA,NA,AP0000950182
EX37400011006,3/25/85 0:00,incinerator,Rolling Acres Memorial Gardens for Pets,12200 NW CROOKED RD,Parkville,Platte,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,4/8/85 0:00,0485-003,14,NA,NA,AP0001650011
EX22400076010,5/3/85 0:00,NA,Barber & Son Aggregates Co.,11400 7 HWY,Lee's Summit,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,5/18/85 0:00,0980-005A,15,NA,NA,APA000950076
EX10200042005,8/15/85 0:00,gas turbine co-generator,Archer Daniels Midland Co,200 W 19TH ST,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,12/1/86 0:00,0186-003,473,NA,NA,AP0000470042
EX37400007007,6/5/95 0:00,coal fired electric gen boiler,Kansas City Power & Light (Iatan),20240 Hwy 45 North,Weston,Platte,"AP:  Closed out, per policy","AP: Section 7, 8 & 9 Major Source Review",5/5/97 0:00,NA,700,NA,NA,AP0001650007
EX08400003007,6/7/95 0:00,APPLICATION DETERMINATION,Utilicorp United,101 Front St,Pleasant Hill,Cass,AP:  No Permit Required,AP: Applicability Determination Request,8/8/95 0:00,NA,62,NA,NA,APA000370003
EX10200129005,6/9/95 0:00,vinyl siding manufacturing,Variform,303 W MAJOR ST,Kearney,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,10/10/95 0:00,1095-011,123,NA,NA,AP0000470129
EX10200141005,6/9/95 0:00,"storage tanks, mixing tanks, dispenser","Sericol, Inc.",20 W. 14th Ave.,North Kansas City,Clay,AP:  No Permit Required,AP: Sec 5 & 6: Deminimis and Minor,9/14/95 0:00,NA,97,NA,NA,APA000470141
EX10200136010,6/15/95 0:00,PRINTING/PUBLISHING,"O'Dell Publishing, Inc",3200 Heartland,Liberty,Clay,AP:  No Permit Required,AOP: Applicability Determination Requests,5/29/98 0:00,OP,1079,NA,NA,APA000470136
PORT0065006,6/17/95 0:00,Portable Concrete Plant,Loch Sand & Construction,NA,Kansas City,Platte,AP:  Section 4 Permit Issued,AP: Sec 4: Relocate to New Site,8/15/95 0:00,0692-020,59,8/15/97 0:00,NA,AP0001652411
EX22400078005,11/7/85 0:00,NA,"Lucent Technologies, Inc.",777 North Blue Parkway,Lee's Summit,Jackson,AP:  Permit Issued,"AP: Section 7, 8 & 9 Major Source Review",3/27/87 0:00,0387-001,505,NA,NA,APA000950078
EX22400174010,11/18/85 0:00,NA,Concrete Service Inc,16000 E Kentucky Rd,Sugar Creek,Jackson,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,2/24/86 0:00,0286-015,98,NA,NA,APA000950174
EX10200115005,11/25/85 0:00,commercial carbon regeneration,"Liberty Carbon Service, Inc.",1706 Johnson Ind Dr,Excelsior Springs,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,9/26/86 0:00,0986-009,305,NA,NA,AP0000470115
EX22400186005,12/18/85 0:00,NA,Little Blue Valley Sewer District,21208 E OLD ATHERTON RD,Independence,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,9/5/86 0:00,0986-002..,261,NA,NA,AP0000950186
EX10200019017,12/23/85 0:00,NA,Ford Motor Company - Kansas City Plant,8121 E US Hwy 69,Kansas City,Clay,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,1/21/87 0:00,0187-005,394,NA,NA,AP0000470019
EX22400184005,12/30/85 0:00,Bayco Burnout Oven,"Calibrake, Inc",737 S Northern,Independence,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,1/15/86 0:00,0186-005,16,NA,NA,AP0000950184
EX10200112005,1/10/86 0:00,gas fired incinerator,Gladstone Animal Shelter,4040 NE 76 St,Gladstone,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,1/31/86 0:00,0186-008,21,NA,NA,AP0000470112
EX22400181005,1/29/86 0:00,Woodworking Plant,Great American Molding Door Co,9911A E 53rd St,Raytown,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,2/14/86 0:00,0286-001..,16,NA,NA,AP0000950181
EX22400062010,2/15/86 0:00,NA,Medical Center Of Independence,17203 E 23rd St,Sugar Creek,Jackson,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,4/23/86 0:00,0486-004,67,NA,NA,AP0000950062
EX10200113005,2/24/86 0:00,6 color flexographic printing press,Devro-Teepak Inc,133 West 10th,North Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,3/21/86 0:00,0386-005,25,NA,NA,APA000470113
EX10200114005,3/14/86 0:00,an asphalt production plant,Green Quarries - Excelsior Plant,1910 A West 69 Hwy,Carrollton,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,5/21/86 0:00,0586-008,68,NA,NA,APA000470114
EX22400170005,4/5/86 0:00,NA,Industrial Services Corp,1633 S Marsh,Randolph,Jackson,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,6/11/90 0:00,NA,1528,NA,NA,AP0000950170
EX22400185005,4/16/86 0:00,Incinerator,Wayside Waifs,3901 E 119th St,Grandview,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,4/28/86 0:00,0486-006,12,NA,NA,AP0000950185
EX10200042006,6/10/86 0:00,soybean drying & dehulling system,Archer Daniels Midland Co,200 W 19TH ST,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,12/1/86 0:00,1286-001,174,NA,NA,AP0000470042
EX3740N002005,8/11/86 0:00,automobile refinish products center,BASF Corp.,500 NW Business Park Lane,Riverside,Platte,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,8/29/86 0:00,0886-008,18,NA,NA,AP0001650014
EX10200013004,9/8/86 0:00,Replace solder sideseamer w/welded sideseamer,American Can Co,1545 Erie St,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,6/2/87 0:00,0687-001A,267,NA,NA,AP0000470013
EX3740N001005,9/8/86 0:00,NA,American Can Co,1545 Erie St,Kansas City,Clay,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,6/2/87 0:00,0687-001,267,NA,NA,AP0000470013
PORT0242007,6/28/95 0:00,Rip-Rap Screen Plant,"Ash Grove Aggregates, Inc",23004 East Hwy 24,Independence,Jackson,AP:  Section 4 Permit Issued,AP: Sec 4: Relocate to New Site,7/31/95 0:00,0894-013,33,7/31/97 0:00,NA,AP0000950169
EX10200003006,7/21/95 0:00,1-100 ton Wheat Midds Storage Tank,Con Agra,2010 Taney,North Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,11/8/95 0:00,1195-011,110,NA,NA,AP0000470003
EX10200042014,7/29/95 0:00,replace boiler,Archer Daniels Midland Co,200 W 19TH ST,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,10/27/95 0:00,1095-032,90,NA,NA,AP0000470042
EX0950046022,7/31/95 0:00,3 INKJET MARKING EQUIPMENT,Lake City Army Ammunition Plant,MO Hwy 78,Independence,Jackson,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,10/11/95 0:00,1095-022,72,NA,NA,AP0000950046
EX10200102005,12/1/86 0:00,Rip-Rap Plant,Missouri Rock Inc,21600 E 24 Hwy,Independence,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,10/29/87 0:00,1087-012,332,NA,NA,AP0000470102
EX0950020005,2/12/87 0:00,428 T/yr VOC requested as part of alternate emissions strategy,G M Leeds Plant,6817 Stadium Dr,Kansas City,Jackson,AP:  ERC Request Approved,AP: Banking Requests,10/13/87 0:00,BANK,243,NA,NA,AP0000950020
EX0950021005,4/2/87 0:00,NA,Kansas City Power and Light,115 Grand Ave.,Kansas City,Jackson,AP:  ERC Request Approved,AP: Banking Requests,9/30/88 0:00,BANK,547,NA,NA,APA000950021
EX10200049005,4/15/87 0:00,EDB Cannister Cleanup,Douglas Chemical Co,NA,Pleasant Valley,Clay,AP:  No Permit Required,AP: Sec 5 & 6: Deminimis and Minor,4/22/89 0:00,NA,738,NA,NA,AP0000470049
EX1020N003011,4/21/87 0:00,Baghouse and gravity separator,Gates Rubber Co,140 Corum Road,Excelsior Springs,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,12/3/87 0:00,1287-001,226,NA,NA,APA000470070
EX22400022005,4/23/87 0:00,NA,Kansas City Power & Light Co (Hawthorn),8700 HAWTHORNE RD,Kansas City,Jackson,AP:  ERC Request Approved,AP: Banking Requests,9/30/88 0:00,BANK,526,NA,NA,AP0000950022
EX10200019014,4/27/87 0:00,NA,Ford Motor Company - Kansas City Plant,8121 E US Hwy 69,Kansas City,Clay,AP:  ERC Request Approved,AP: Banking Requests,5/15/87 0:00,BANK,18,NA,NA,AP0000470019
EX1020P116005,4/30/87 0:00,NA,Clarkson Construction Co,NA,Gladstone,Clay,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,5/12/87 0:00,0587-005,12,NA,NA,AP000047P116
EX10200019018,5/5/87 0:00,NA,Ford Motor Company - Kansas City Plant,8121 E US Hwy 69,Kansas City,Clay,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,11/5/87 0:00,1187-002,184,NA,NA,AP0000470019
EX1020N009005,5/18/87 0:00,Fuel Storage Tanks,Heritage Environmental Services Inc,8525 NE 38th Street,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,6/29/87 0:00,0687-014,42,NA,NA,AP0000472222
EX22400124005,5/20/87 0:00,NA,C. R. Smith Construction Co Inc,NA,Blue Springs,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,6/25/87 0:00,0687-011,36,NA,NA,AP0000950124
EX0840N004005,6/22/87 0:00,NA,Concrete Service Inc,291 North,Harrisonville,Cass,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,3/23/88 0:00,0388-008,275,NA,NA,APA000370035
EX2240N006005,6/22/87 0:00,Animal Control Incinerator,Independence Animal Shelter,875 Vista Drive,Sugar Creek,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,8/5/87 0:00,0887-001,44,NA,NA,AP0000950219
EX08400032005,7/20/87 0:00,NA,Ravco Asphalt Inc,19100 E 231ST ST,Harrisonville,Cass,AP:  Awaiting Completeness Check,AP: Sec 5 & 6: Deminimis and Minor,10/16/87 0:00,1087-004,88,NA,NA,APA000370032
