program_reference_id,date_received,description,facility_site_name,facility_site_address,city,county,permit_status,permit_type,completed_date,,,permit_number,days_used,expiration,url,site_id,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS (block),Full FIPS (tract),Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code
AP202203027,03/08/22,Concrete,Geiger Ready Mix-Troost,troost and bannister rd,Kansas City,Jackson,AP:  Application Withdrawn by Applicant,AP: Sec 4: Relocate to New Site,03/16/22,,,072021-007,8,,,AP0202203027,38.955467,-94.580717,0.57,intersection,,E Bannister Rd,,,Kansas City,MO,Jackson County,64131,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29095,Kansas City,2938000,9700,1001,1,2.91E+14,29095010103,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202106046,06/21/21,Evaluate PTE for OP Applicability,Research Medical Center,2316 e meyer blvd,Kansas City,Jackson,AP:  No Permit Required,AOP: Applicability Determination Requests,03/14/22,,,OP,266,,,AP0000952054,39.009222,-94.560735,1,rooftop,2316,E Meyer Blvd,,,Kansas City,MO,Jackson County,64132,US,Jackson,2021,29,29095,Kansas City,2938000,8700,1001,1,2.91E+14,29095008700,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202201026,01/28/22,Generators,CUSHMAN WAKEFIELD MASTERCARD KC DATA CENTER,11530 ambassador dr,Kansas City,Platte,AP:  Permit Required,AOP: Applicability Determination Requests,03/11/22,,,,42,,,AP0001652420,39.302412,-94.684802,0.9,rooftop,11530,N Ambassador Dr,,,Kansas City,MO,Platte County,64153,US,Platte County,2021,29,29165,Kansas City,2938000,30201,4013,4,2.92E+14,29165030201,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202201036,01/18/22,Asphalt,Ideker Inc - Andrews Rd,14911 andrews rd,Kansas City,Jackson,AP:  Section 4 Permit Issued,AP: Sec 4: Relocate to New Site,02/25/22,,,1465E,38,,,AP0202201036,38.852912,-94.537917,1,rooftop,14911,Andrews Rd,,,Kansas City,MO,Jackson County,64147,US,Jackson,2021,29,29095,Kansas City,2938000,13405,1027,1,2.91E+14,29095013405,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202202016,02/08/22,Material Crushing,Metropolitan Concrete Recycling,401 atlantic,Kansas City,Clay,AP:  Section 4 Permit Issued,AP: Sec 4: Relocate Approved Site,02/09/22,,,062020-001,1,2/20/23,,AP0202009007,39.167287,-94.452543,1,range_interpolation,401,Atlantic Rd,,,Birmingham,MO,Clay County,64161,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29047,Birmingham,2905824,22200,3086,3,2.90E+14,29047022200,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202103010,03/02/21,Sausage and food products,Smithfield Farmland,13825 wyandotte street,Kansas City,Jackson,AP:  Operating Permit Issued,AOP: Part 70 Operating Permit,02/07/22,,,OP2022-001,342,,,AP0000952002,38.876809,-94.598311,1,rooftop,13825,Wyandotte St,,,Kansas City,MO,Jackson County,64145,US,Jackson,2021,29,29095,Kansas City,2938000,13405,2011,2,2.91E+14,29095013405,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202110027,10/12/21,Air Compressor,International Paper Company,4343 clary blvd,Kansas City,Jackson,AP:  No Permit Required,AP: Applicability Determination Request,01/25/22,,,,105,,,AP0000952177,39.045879,-94.520965,1,rooftop,4343,Clary Blvd,,,Kansas City,MO,Jackson County,64130,US,Jackson,2021,29,29095,Kansas City,2938000,17100,4013,4,2.91E+14,29095017100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202012012,12/09/20,PAL Renewal,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Section 7 Permit Issued,"AP: Section 7, 8 & 9 Major Source Review",01/14/22,,,012022-007,401,,,AP0000470019,38.998953,-94.49297,0.8,range_interpolation,8121,E 69th St,,,Kansas City,MO,Jackson County,64133,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29095,Kansas City,2938000,17500,1029,1,2.91E+14,29095017500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202105042,05/27/21,Equipment Update,Stryten KCMO LLC,7601 nw 107th terr.,Kansas City,Platte,AP:  Amendment Approved,AP: Sec 5 & 6: Deminimis and Minor,11/24/21,,,112016-002A,181,,,AP0001650043,39.287066,-94.669623,1,rooftop,7601,NW 107th Ter,,,Kansas City,MO,Platte County,64153,US,Platte County,2021,29,29165,Kansas City,2938000,30201,4032,4,2.92E+14,29165030201,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202108020,08/17/21,Concrete Crushing,Heartstone Inc,mexico city ave,Kansas City,Platte,AP:  Section 5 Permit Issued,AP: IR Sec 5 & 6: Deminimis and Minor,10/04/21,,,102021-001,48,,,AP0202108020,39.319106,-94.714728,1,street_center,,Mexico City Ave,,,Kansas City,MO,Platte County,64153,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29165,Kansas City,2938000,980000,1011,1,2.92E+14,29165980000,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202001028,01/22/20,Emission Limits,"Cargill, Inc.",2306 rochester st,Kansas City,Jackson,"AP:  Closed out, per policy",AOP: Part 70 Operating Permit Minor Modification,09/23/21,,,,610,,,AP0000952001,39.121091,-94.555817,1,range_interpolation,2306,Rochester St,,,Kansas City,MO,Jackson County,64120,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29095,Kansas City,2938000,15500,1082,1,2.91E+14,29095015500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202105025,05/17/21,Solvents,Anderson Rail Service,8116 wilson rd,Kansas City,Jackson,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,08/17/21,,,082021-011,92,,,APB000952452,39.110333,-94.4907,1,rooftop,8116,Wilson Rd,,,Kansas City,MO,Jackson County,64125,US,City of Kansas City,2021,29,29095,Kansas City,2938000,15500,1119,1,2.91E+14,29095015500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202106043,06/21/21,New Portable Concrete,Geiger Ready Mix - KCI Airport,northwest airport dr,Kansas City,Platte,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,07/27/21,,,072021-015,36,,,AP0202106043,39.102404,-94.598583,0.5,place,,,,,Kansas City,MO,Jackson County,64101,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29095,Kansas City,2938000,15200,3049,3,2.91E+14,29095015200,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202103055,03/25/21,Truck Equipment and repair,Knapheide Truck Equipment,7200 ne 45th st,Kansas City,Clay,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,07/16/21,,,072021-004,113,,,AP0000472459,39.176113,-94.495098,1,rooftop,7200,NE 45th St,,,Kansas City,MO,Clay County,64117,US,City of Kansas City,2021,29,29047,Kansas City,2938000,20604,1005,1,2.90E+14,29047020604,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202105024,05/14/21,Pugmill,Clarkson Construction Co,mexico city & tel aviv ave,Kansas City,Platte,AP:  Section 5 Permit Issued,AP: IR Sec 5 & 6: Deminimis and Minor,06/23/21,,,062021-016,40,,,AP0001652423,39.314828,-94.715565,0.44,intersection,,Mexico City Ave,,,Kansas City,MO,Platte County,64153,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29165,Kansas City,2938000,980000,1028,1,2.92E+14,29165980000,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202103015,03/05/21,Air Stripper,Department of Energy Kansas City Plant,2000 e bannister rd,Kansas City,Jackson,AP:  No Permit Required,AP: Applicability Determination Request,05/19/21,,,,75,,,AP0000950005,38.958178,-94.565192,1,rooftop,2000,E Bannister Rd,,,Kansas City,MO,Jackson County,64131,US,Jackson,2021,29,29095,Kansas City,2938000,9600,3024,3,2.91E+14,29095009600,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202103058,03/31/21,Crushed reclamation material,Industrial Salvage & Wrecking,3570 gardner ave,Kansas City,Jackson,AP:  Section 5 Permit Issued,AP: IR Sec 5 & 6: Deminimis and Minor,05/06/21,,,052021-001,36,,,AP0000950407,39.127967,-94.538196,1,rooftop,3570,Gardner Ave,,,Kansas City,MO,Jackson County,64120,US,Jackson,2021,29,29095,Kansas City,2938000,15500,1054,1,2.91E+14,29095015500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202104018,04/12/21,Concrete,Clarkson Construction Co,mexico city & tel aviv ave,Kansas City,Platte,AP:  Section 4 Permit Issued,AP: Sec 4: Relocate to New Site,04/26/21,,,0585-019C,14,,,AP0001652423,39.314828,-94.715565,0.44,intersection,,Mexico City Ave,,,Kansas City,MO,Platte County,64153,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29165,Kansas City,2938000,980000,1028,1,2.92E+14,29165980000,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202002040,02/24/20,Termination of OP2018-097.,Sun Chemical,6989 ne corporate dr,Kansas City,Jackson,AP:  No Permit Required,AOP: Intermediate Operating Permit Amendment,04/08/21,,,OP,409,,,AP0000952431,39.137248,-94.499446,1,rooftop,6989,Corporate Dr,,,Kansas City,MO,Jackson County,64120,US,Jackson,2021,29,29095,Kansas City,2938000,15500,1013,1,2.91E+14,29095015500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202008028,08/25/20,Meal Truck Loadout bay,"Cargill, Inc.",2306 rochester st,Kansas City,Jackson,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,04/08/21,,,042021-002,226,,,AP0000952001,39.121091,-94.555817,1,range_interpolation,2306,Rochester St,,,Kansas City,MO,Jackson County,64120,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29095,Kansas City,2938000,15500,1082,1,2.91E+14,29095015500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP201906040,06/18/19,Property Distance,Superior Asphalt Company,9001 hickman mills dr,Kansas City,Jackson,AP:  Permit Issued,AP: Local CP,03/23/21,,,1111A,644,,,AP0000952052,38.963421,-94.539909,1,rooftop,9001,Hickman Mills Dr,,,Kansas City,MO,Jackson County,64132,US,Jackson,2021,29,29095,Kansas City,2938000,17400,3004,3,2.91E+14,29095017400,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP201901005,01/07/19,Equipment Listing,Sun Chemical,6989 ne corporate dr,Kansas City,Jackson,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,03/23/21,,,032021-009,806,,,AP0000952431,39.137248,-94.499446,1,rooftop,6989,Corporate Dr,,,Kansas City,MO,Jackson County,64120,US,Jackson,2021,29,29095,Kansas City,2938000,15500,1013,1,2.91E+14,29095015500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202102050,02/24/21,Funeral Home Incinerator,"Funeral DirectorÔøΩs Service, Inc.",1409 illinois,Kansas City,Jackson,AP:  Permit Issued,AP: Permit-by-Rule,03/03/21,,,032021-002,7,,,AP0000952477,39.09549,-94.545665,1,rooftop,1409,Illinois Ave,,,Kansas City,MO,Jackson County,64127,US,Jackson,2021,29,29095,Kansas City,2938000,16000,1032,1,2.91E+14,29095016000,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202012035,12/23/20,Rock Crushing,J.A. Lillig Excavating Inc,1179 mexico city ave,Kansas City,Platte,AP:  Section 5 Permit Issued,AP: IR Sec 5 & 6: Deminimis and Minor,02/18/21,,,022021-005,57,,,AP0201906022,39.327373,-94.711837,1,range_interpolation,1179,Mexico City Ave,,,Kansas City,MO,Platte County,64153,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29165,Kansas City,2938000,980000,1024,1,2.92E+14,29165980000,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202101015,01/14/21,Rock Crushing,Riverside Composting & Recycling,e 87th st & drury ave,Kansas City,Jackson,AP:  Section 4 Permit Issued,AP: Sec 4: Relocate to New Site,02/08/21,,,092006-001G,25,,,AP0202101015,38.96967,-94.525129,0.79,intersection,,Drury Ave,,,Kansas City,MO,Jackson County,64132,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29095,Kansas City,2938000,17200,3026,3,2.91E+14,29095017200,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202009022,09/17/20,NOx reallocation,CenterPoint,14510 botts rd,Kansas City,Jackson,AP:  Amendment Approved,AP: Corrections & Amendments,01/20/21,,,022018-007B,125,,,AP0000952450,38.864149,-94.552191,1,rooftop,14510,Botts Rd,,,Kansas City,MO,Jackson County,64147,US,Jackson,2021,29,29095,Kansas City,2938000,13405,1003,1,2.91E+14,29095013405,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202012034,12/23/20,Rock Crushing,J.A. Lillig Excavating-Blue Ridge,4507 blue ridge cutoff,Kansas City,Jackson,AP:  Section 4 Permit Issued,AP: Sec 4: Relocate to New Site,01/05/21,,,092019-006A,13,,,AP0202012034,39.041206,-94.474226,1,rooftop,4507,Blue Ridge Cut Off,,,Kansas City,MO,Jackson County,64133,US,Jackson,2021,29,29095,Kansas City,2938000,10702,2005,2,2.91E+14,29095010702,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202008033,08/27/20,"Boilers, emergency generator",Research Medical Center - Brookside,6601 rockhill rd,Kansas City,Jackson,AP:  No Permit Required,AP: Applicability Determination Request,11/02/20,,,,67,,,AP0000952087,39.007721,-94.575888,1,rooftop,6601,Rockhill Rd,,,Kansas City,MO,Jackson County,64131,US,Jackson,2021,29,29095,Kansas City,2938000,8600,1008,1,2.91E+14,29095008600,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202009028,09/24/20,IC engine update,Department of Energy,botts rd & hwy 150,Kansas City,Jackson,AP:  Amendment Approved,AP: Corrections & Amendments,10/28/20,,,032018-001B,34,,,AP0000952442,38.860386,-94.546312,0.64,intersection,,Botts Rd,,,Grandview,MO,Jackson County,64030,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29095,Kansas City,2938000,13405,1002,1,2.91E+14,29095013405,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202009038,09/29/20,Emergency use boiler,Vicinity Energy-Grand Avenue Station,115 grand ave,Kansas City,Jackson,AP:  Application Withdrawn by Applicant,AP: Temporary or Pilot Plant Permit,10/01/20,,,,2,,,AP0000950021,39.111405,-94.580806,1,range_interpolation,115,Grand Ave,,,Kansas City,MO,Jackson County,64106,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29095,Kansas City,2938000,15200,1001,1,2.91E+14,29095015200,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202009007,09/09/20,Material Crushing,Metropolitan Concrete Recycling,401 atlantic,Kansas City,Clay,AP:  Section 4 Permit Issued,AP: Sec 4: Relocate to New Site,09/24/20,,,062020-001A,15,,,AP0202009007,39.167287,-94.452543,1,range_interpolation,401,Atlantic Rd,,,Birmingham,MO,Clay County,64161,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29047,Birmingham,2905824,22200,3086,3,2.90E+14,29047022200,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202003005,03/04/20,HAP Limits,Veolia Energy - Kansas City,115 grand ave,Kansas City,Jackson,AP:  Amendment Approved,AOP: Part 70 Operating Permit Sign. Modification,09/10/20,,,OP2018-006A,190,2/2/23,,APC000950021,39.111405,-94.580806,1,range_interpolation,115,Grand Ave,,,Kansas City,MO,Jackson County,64106,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29095,Kansas City,2938000,15200,1001,1,2.91E+14,29095015200,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202007021,07/14/20,Concrete Batch Plant,Concrete Strategies Inc-Bannister,east bannister & santa fe,Kansas City,Jackson,AP:  Section 5 Permit Issued,AP: IR Sec 5 & 6: Deminimis and Minor,09/08/20,,,092020-005,56,,,AP0000950405,39.102404,-94.598583,0.5,place,,,,,Kansas City,MO,Jackson County,64101,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29095,Kansas City,2938000,15200,3049,3,2.91E+14,29095015200,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202005033,05/05/20,NOx changes,CenterPoint,14510 botts rd,Kansas City,Jackson,AP:  Amendment Approved,AP: Corrections & Amendments,08/26/20,,,022018-007A ,113,,,AP0000952450,38.864149,-94.552191,1,rooftop,14510,Botts Rd,,,Kansas City,MO,Jackson County,64147,US,Jackson,2021,29,29095,Kansas City,2938000,13405,1003,1,2.91E+14,29095013405,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP201909046,09/26/19,Mobile Carbonator,Sequest,1221 w 103rd st,Kansas City,Jackson,"AP:  Closed Out, Inactive",AP: Applicability Determination Request,08/24/20,,,,333,,,AP0201909046,38.941266,-94.606382,1,rooftop,1221,W 103rd St,,,Kansas City,MO,Jackson County,64114,US,Jackson,2021,29,29095,Kansas City,2938000,10001,2012,2,2.91E+14,29095010001,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202003015,03/10/20,Small IC engines,Department of Energy,botts rd & hwy 150,Kansas City,Jackson,AP:  Amendment Approved,AP: Corrections & Amendments,08/07/20,,,032018-001A,150,,,AP0000952442,38.860386,-94.546312,0.64,intersection,,Botts Rd,,,Grandview,MO,Jackson County,64030,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29095,Kansas City,2938000,13405,1002,1,2.91E+14,29095013405,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202006042,06/26/20,Rock Crushing,Thomas Crushing - Hwy 40,7700 e 40 hwy,Kansas City,Jackson,AP:  Section 4 Permit Issued,AP: Sec 4: Relocate to New Site,07/07/20,,,032017-007E,11,,,AP0202006042,39.066425,-94.49441,0.95,rooftop,7700,E US 40 Hwy,,,Kansas City,MO,Jackson County,64129,US,Jackson,2021,29,29095,Kansas City,2938000,16300,1001,1,2.91E+14,29095016300,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202003030,03/19/20,Staging area,"Mark II Transfer Station, LLC",6709 e 40 hwy,Kansas City,Jackson,AP:  No Permit Required,AP: Applicability Determination Request,06/04/20,,,,77,,,AP0201906046,39.069127,-94.502432,0.95,rooftop,6709,E US 40 Hwy,,,Kansas City,MO,Jackson County,64129,US,Jackson,2021,29,29095,Kansas City,2938000,16300,1031,1,2.91E+14,29095016300,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202005027,05/18/20,Human remains cremation,"Funeral DirectorÔøΩs Service, Inc.",1409 illinois,Kansas City,Jackson,AP:  Permit Issued,AP: Permit-by-Rule,05/19/20,,,052020-008,1,,,AP0000952477,39.09549,-94.545665,1,rooftop,1409,Illinois Ave,,,Kansas City,MO,Jackson County,64127,US,Jackson,2021,29,29095,Kansas City,2938000,16000,1032,1,2.91E+14,29095016000,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202001030,01/22/20,Update PTE,Smithfield Farmland,13825 wyandotte street,Kansas City,Jackson,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,05/07/20,,,052020-001,106,,,AP0000952002,38.876809,-94.598311,1,rooftop,13825,Wyandotte St,,,Kansas City,MO,Jackson County,64145,US,Jackson,2021,29,29095,Kansas City,2938000,13405,2011,2,2.91E+14,29095013405,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP201906029,06/13/19,SSM Conditions,Kansas City Power & Light Co (Hawthorn),8700 hawthorne rd,Kansas City,Jackson,AP:  Amendment Approved,"AP: Section 7, 8 & 9 Major Source Review",05/01/20,,,883B,323,,,AP0000950022,39.130505,-94.478423,1,rooftop,8700,Hawthorne Rd,,,Kansas City,MO,Jackson County,64120,US,Jackson,2021,29,29095,Kansas City,2938000,15500,2006,2,2.91E+14,29095015500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
